Name,Year ,Day,Episodes,Network,Content_Rating,Cast,Genre,Rank,Rating
Stranger,2017," Saturday, Sunday",16,"Netflix,  tvN ",15+ - Teens 15 or older ,"Jo Seung Woo, Bae Doo Na, Lee Joon Hyuk, Yoo Jae Myung, Shin Hye Sun, Choi Jae Woong","Thriller,  Mystery,  Law,  Drama ",20,8.9
Goblin,2016," Friday, Saturday",16,tvN ,15+ - Teens 15 or older ,"Gong Yoo, Kim Go Eun, Lee Dong Wook, Yoo In Na, Yook Sung Jae, Lee El","Comedy,  Romance,  Fantasy,  Melodrama ",21,8.8
Hometown Cha-Cha-Cha,2021," Saturday, Sunday",16,"Netflix,  tvN ",15+ - Teens 15 or older ,"Shin Min Ah, Kim Seon Ho, Lee Sang Yi, In Gyo Jin, Jo Han Chul, Lee Bong Ryun","Comedy,  Romance,  Life ",22,8.8
The Uncanny Counter,2020," Saturday, Sunday",16,"Netflix,  OCN ",15+ - Teens 15 or older ,"Cho Byeong Kyu, Yoo  Joon Sang, Kim Se Jeong, Yeom Hye Ran, Ahn Suk Hwan, Lee Hong Nae","Action,  Mystery,  Drama,  Supernatural ",23,8.8
D.P.,2021, Friday,6,Netflix ,15+ - Teens 15 or older ,"Jung Hae In, Koo Kyo Hwan, Kim Sung Kyun, Son Seok Koo, Hong Kyung, Jo Hyun Chul","Action,  Military,  Comedy,  Drama ",24,8.8
Kingdom,2019, Friday,6,Netflix ,18+ Restricted (violence & profanity) ,"Joo Ji Hoon, Ryu Seung Ryong, Bae Doo Na, Kim Sung Gyu, Kim Chan Yi, Kim  Sang Ho","Thriller,  Historical,  Horror,  Political ",25,8.8
The Penthouse,2020," Monday, Tuesday",21,SBS ,15+ - Teens 15 or older ,"Lee Ji Ah, Kim So Yeon, Eugene, Uhm Ki Joon, Bong Tae Kyu, Shin Eun Kyung","Thriller,  Mystery,  Drama,  Family ",26,8.8
Weightlifting Fairy Kim Bok Joo,2016," Wednesday, Thursday",16,MBC ,15+ - Teens 15 or older ,"Lee Sung Kyung, Nam Joo Hyuk, Lee Jae Yoon, Kyung Soo Jin, Cho Hye Jung, Lee Joo Young","Comedy,  Romance,  Youth,  Sports ",27,8.8
The Devil Judge,2021," Saturday, Sunday",16,tvN ,15+ - Teens 15 or older ,"Ji Sung, Kim Min Jung, Park Jin Young, Park Gyu Young, Jeon Chae Eun, Kim Jae Kyung","Mystery,  Law,  Crime,  Drama ",28,8.8
Life on Mars,2018," Saturday, Sunday",16,OCN ,15+ - Teens 15 or older ,"Jung Kyung Ho, Park Sung Woong, Go Ah Sung, Oh Dae Hwan, Noh Jong Hyun, Jun Suk Ho","Action,  Mystery,  Comedy,  Supernatural ",29,8.8
The Penthouse 2,2021," Friday, Saturday",13,SBS ,15+ - Teens 15 or older ,"Kim So Yeon, Eugene, Lee Ji Ah, Uhm Ki Joon, Yoon Jong Hoon, Shin Eun Kyung","Thriller,  Mystery,  Drama,  Family ",30,8.8
Beyond Evil,2021," Friday, Saturday",16,jTBC ,15+ - Teens 15 or older ,"Shin Ha Kyun, Yeo Jin Goo, Choi Dae Hoon, Kim Shin Rok, Choi Sung Eun, Choi Jin Ho","Thriller,  Mystery,  Psychological,  Drama ",31,8.8
Taxi Driver,2021," Friday, Saturday",16,SBS ,18+ Restricted (violence & profanity) ,"Lee Je Hoon, Esom, Kim Eui Sung, Pyo Ye Jin, Cha Ji Yeon, Jang Hyuk Jin","Action,  Thriller,  Mystery,  Drama ",32,8.8
Six Flying Dragons,2015," Monday, Tuesday",50,SBS ,15+ - Teens 15 or older ,"Yoo Ah In, Kim Myung Min, Shin Se Kyung, Byun Yo Han, Yoon Kyun Sang, Chun Ho Jin","Action,  Historical,  Drama,  Political ",33,8.8
The Guest,2018," Wednesday, Thursday",16,OCN ,18+ Restricted (violence & profanity) ,"Kim Dong Wook, Kim Jae Wook, Jung Eun Chae, Lee Won Jong, Park Ho San, Ahn Nae Sang","Thriller,  Mystery,  Horror,  Supernatural ",34,8.8
Racket Boys,2021," Monday, Tuesday",16,"Netflix,  SBS ",15+ - Teens 15 or older ,"Kim Sang Kyung, Oh Na Ra, Tang Jun Sang, Son Sang Yeon, Choi Hyun Wook, Kim Kang Hoon","Friendship,  Comedy,  Youth,  Sports ",35,8.8
Youth of May,2021," Monday, Tuesday",12,KBS2 ,15+ - Teens 15 or older ,"Lee Do Hyun, Go Min Si, Lee Sang Yi, Geum Sae Rok, Oh Man Suk, Uhm Hyo Sub","Historical,  Romance,  Drama,  Melodrama ",36,8.8
Mouse,2021," Wednesday, Thursday",20,tvN ,18+ Restricted (violence & profanity) ,"Lee Seung Gi, Lee Hee Joon, Park Joo Hyun, Kyung Soo Jin, Woo Ji Hyun, Ahn Jae Wook","Thriller,  Mystery,  Sci-Fi ",37,8.7
Sweet Home,2020, Friday,10,Netflix ,18+ Restricted (violence & profanity) ,"Song Kang, Lee Jin Wook, Lee Si Young, Lee Do Hyun, Kim Nam Hee, Go Min Si","Horror,  Drama,  Sci-Fi,  Supernatural ",38,8.7
18 Again,2020," Monday, Tuesday",16,jTBC ,15+ - Teens 15 or older ,"Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeoun, Wi Ha Joon","Romance,  Life,  Drama,  Fantasy ",39,8.7
Chicago Typewriter,2017," Friday, Saturday",16,tvN ,15+ - Teens 15 or older ,"Yoo Ah In, Im Soo Jung, Go Kyung Pyo, Kwak Shi Yang, Jo  Woo Jin, Oh Na Ra","Comedy,  Romance,  Supernatural,  Political ",40,8.7
Defendant,2017," Monday, Tuesday",18,SBS ,15+ - Teens 15 or older ,"Ji Sung, Uhm Ki Joon, Kwon Yu Ri, Oh Chang Seok, Uhm Hyun Kyung, Jung Dong Gyu","Thriller,  Mystery,  Law,  Drama ",41,8.7
While You Were Sleeping,2017," Wednesday, Thursday",32,SBS ,15+ - Teens 15 or older ,"Bae Suzy, Lee Jong Suk, Jung Hae In, Lee Sang Yeob, Hwang Young Hee, Shin Jae Ha","Mystery,  Romance,  Drama,  Fantasy ",42,8.7
Dear My Friends,2016," Friday, Saturday",16,tvN ,15+ - Teens 15 or older ,"Go Hyun Jung, Kim Hye Ja, Na Moon Hee, Go Doo Shim, Park Won Sook, Youn Yuh Jung","Life,  Drama,  Family,  Melodrama ",43,8.7
Dr. Romantic 2,2020," Monday, Tuesday",16,SBS ,15+ - Teens 15 or older ,"Han Seok Kyu, Ahn Hyo Seop, Lee Sung Kyung, Kim Joo Heon, Shin Dong Wook, So Ju Yeon","Romance,  Drama,  Medical,  Melodrama ",44,8.7
"Kill Me, Heal Me",2015," Wednesday, Thursday",20,MBC ,15+ - Teens 15 or older ,"Ji Sung, Hwang Jung Eum, Park Seo Joon, Kim Yoo Ri, Oh Min Suk, Kim Young Ae","Psychological,  Comedy,  Romance,  Drama ",45,8.7
Arthdal Chronicles Part 2,2019," Saturday, Sunday",6,"Netflix,  tvN ",15+ - Teens 15 or older ,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Jo Sung Ha, Park Hae Joon","Historical,  Romance,  Fantasy,  Political ",46,8.7
Misaeng,2014," Friday, Saturday",20,tvN ,15+ - Teens 15 or older ,"Im Si Wan, Lee Sung Min, Kang So Ra, Kang Ha Neul, Byun Yo Han, Kim Dae Myung","Friendship,  Business,  Life,  Drama ",47,8.7
Arthdal Chronicles Part 3,2019," Saturday, Sunday",6,"Netflix,  tvN ",15+ - Teens 15 or older ,"Song Joong Ki, Kim Ji Won, Jang Dong Gun, Kim Ok Bin, Kim Sung Chul, Karata Erika","Historical,  Romance,  Fantasy,  Political ",48,8.7
My Name,2021, Friday,8,Netflix ,18+ Restricted (violence & profanity) ,"Han So Hee, Park Hee Soon , Ahn Bo Hyun, Lee Hak Joo, Kim  Sang Ho, Jang Yool","Action,  Thriller,  Crime ",49,8.7
Hotel del Luna,2019," Saturday, Sunday",16,tvN ,15+ - Teens 15 or older ,"IU, Yeo Jin Goo, Shin Jung Keun, Bae Hae Seon, P.O, Jo Hyun Chul","Horror,  Comedy,  Romance,  Fantasy ",50,8.7
Dr. Romantic,2016," Monday, Tuesday",20,SBS ,15+ - Teens 15 or older ,"Han Seok Kyu, Yoo Yeon Seok, Seo Hyun Jin, Choi Jin Ho, Yang Se Jong, Jang Hyuk Jin","Romance,  Drama,  Medical ",51,8.7
The Fiery Priest,2019," Friday, Saturday",40,SBS ,15+ - Teens 15 or older ,"Kim Nam Gil, Kim Sung Kyun, Lee Ha Nee, Go Jun, Geum Sae Rok, Jeon Sung Woo","Action,  Mystery,  Comedy,  Crime ",52,8.7
Moon Lovers,2016," Monday, Tuesday",20,SBS ,15+ - Teens 15 or older ,"Lee Joon Gi, IU, Kang Ha Neul, Hong Jong Hyun, Nam Joo Hyuk, Byun Baek Hyun","Historical,  Romance,  Melodrama ",53,8.7
Descendants of the Sun,2016," Wednesday, Thursday",16,KBS2 ,15+ - Teens 15 or older ,"Song Joong Ki, Song Hye Kyo, Jin Goo, Kim Ji Won, Lee Seung Jun, Seo Jung Yeon","Action,  Comedy,  Romance,  Melodrama ",54,8.7
Hot Stove League,2019," Friday, Saturday",16,SBS ,15+ - Teens 15 or older ,"Namkoong Min, Park Eun Bin, Cho Byeong Kyu, Oh Jung Se, Son Jong Hak, Kim Do Hyun","Drama,  Sports,  Melodrama ",55,8.7
Strong Woman Do Bong Soon,2017," Friday, Saturday",16,jTBC ,15+ - Teens 15 or older ,"Park Bo Young, Park Hyung Sik, Kim Ji Soo, Jun Suk Ho, Shim Hye Jin, Yoo Jae Myung","Action,  Thriller,  Comedy,  Romance,  Drama,  Supernatural ",56,8.7
Law School,2021," Wednesday, Thursday",16,"jTBC,  Netflix ",15+ - Teens 15 or older ,"Kim Myung Min, Kim Bum, Ryu Hye Young, Lee Jung Eun, Lee Soo Kyung, Lee David","Mystery,  Law,  Crime,  Drama ",57,8.7
Live,2018," Saturday, Sunday",18,"Netflix,  tvN ",15+ - Teens 15 or older ,"Lee Kwang Soo, Jung Yu Mi, Bae Sung Woo, Bae Jong Ok, Sung Dong Il, Jang Hyun Sung","Friendship,  Comedy,  Romance,  Crime ",58,8.7
Tunnel,2017," Saturday, Sunday",16,OCN ,15+ - Teens 15 or older ,"Choi Jin Hyuk, Yoon Hyun Min, Lee Yoo Young, Jo Hee Bong, Kim Byung Chul, Kang Ki Young","Thriller,  Mystery,  Sci-Fi,  Fantasy ",59,8.7
Strangers from Hell,2019," Saturday, Sunday",10,OCN ,15+ - Teens 15 or older ,"Im Si Wan, Lee Dong Wook, Lee Jung Eun, Ahn Eun Jin, Park Jong Hwan, Lee Joong Ok","Thriller,  Horror,  Psychological,  Drama ",60,8.7
"It's Okay, That's Love",2014," Wednesday, Thursday",16,SBS ,15+ - Teens 15 or older ,"Jo In Sung, Gong Hyo Jin, Sung Dong Il, Lee Kwang Soo, Jin Kyung, Lee Sung Kyung","Psychological,  Comedy,  Romance,  Drama ",61,8.6
Eulachacha Waikiki,2018," Monday, Tuesday",20,jTBC ,15+ - Teens 15 or older ,"Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo","Comedy,  Life,  Youth,  Drama ",62,8.6
The Bridal Mask,2012," Wednesday, Thursday",28,KBS2 ,15+ - Teens 15 or older ,"Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin","Action,  Historical,  Romance,  Political ",63,8.6
Partners for Justice 2,2019," Monday, Tuesday",32,MBC ,15+ - Teens 15 or older ,"Jung Jae Young, Jung Yoo Mi, Oh Man Suk, Noh Min Woo, Kang Seung Hyun, Park Jun Gyu","Mystery,  Law,  Drama,  Medical ",64,8.6
Jewel in the Palace,2003," Monday, Tuesday",54,MBC ,13+ - Teens 13 or older ,"Lee Young Ae, Ji Jin Hee, Hong Ri Na, Im Ho, Yang  Mi Kyung, Kyeon Mi Ri","Food,  Historical,  Romance,  Medical ",65,8.6
My Father is Strange,2017," Saturday, Sunday",52,KBS2 ,15+ - Teens 15 or older ,"Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min","Comedy,  Romance,  Drama,  Family ",66,8.6
Children of Nobody,2018," Wednesday, Thursday",32,MBC ,15+ - Teens 15 or older ,"Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, N, Joo Seok Tae, Na Young Hee","Thriller,  Mystery,  Psychological,  Crime,  Drama ",67,8.6
Go Back Couple,2017," Friday, Saturday",12,KBS2 ,15+ - Teens 15 or older ,"Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol","Comedy,  Romance,  Life,  School,  Drama,  Family,  Supernatural ",68,8.6
Good Manager,2017," Wednesday, Thursday",20,KBS2 ,15+ - Teens 15 or older ,"Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun","Business,  Comedy,  Crime,  Drama ",69,8.6
Stranger 2,2020," Saturday, Sunday",16,"Netflix,  tvN ",15+ - Teens 15 or older ,"Jo Seung Woo, Bae Doo Na, Jeon Hye Jin, Choi Moo Sung, Lee Joon Hyuk, Yoon Se Ah","Thriller,  Mystery,  Law,  Drama ",70,8.6
My Love from the Star,2013," Wednesday, Thursday",21,SBS ,15+ - Teens 15 or older ,"Kim Soo Hyun, Jun Ji Hyun, Park Hae Jin, Yoo In Na, Shin Sung Rok, Kim Chang Wan","Comedy,  Romance,  Drama,  Supernatural ",71,8.6
Empress Ki,2013," Monday, Tuesday",51,MBC ,15+ - Teens 15 or older ,"Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Kim Ji Han, Kim Seo Hyung","Historical,  Romance,  Melodrama,  Political ",72,8.6
Age of Youth,2016," Friday, Saturday",12,jTBC ,15+ - Teens 15 or older ,"Han Ye Ri, Ryu Hwa Young, Park Eun Bin, Han Seung Yeon, Park Hye Soo, Yoon Park","Friendship,  Romance,  Life,  Youth ",73,8.6
Mystic Pop-Up Bar,2020," Wednesday, Thursday",12,"jTBC,  Netflix ",15+ - Teens 15 or older ,"Hwang Jung Eum, Yook Sung Jae, Choi Won Young, Jung Da Eun, Lee Joon Hyuk, Na In Woo","Mystery,  Comedy,  Family,  Fantasy ",74,8.6
Cruel City,2013," Monday, Tuesday",20,jTBC ,15+ - Teens 15 or older ,"Jung Kyung Ho, Nam Gyu Ri, Lee Jae Yoon, Son Chang Min, Kim Yoo Mi, Choi Moo Sung","Action,  Thriller,  Romance,  Crime ",75,8.6
365,2020," Monday, Tuesday",24,MBC ,15+ - Teens 15 or older ,"Lee Joon Hyuk, Nam Ji Hyun, Kim Jee Soo, Lee Sung Wook, Yoon Joo Sang, Ahn Seung Gyun","Thriller,  Mystery,  Drama,  Fantasy ",76,8.6
